Date,Visit Count
11/26/2023,54
11/27/2023,61
11/28/2023,61
11/29/2023,59
11/30/2023,64
12/1/2023,62
12/2/2023,55
12/3/2023,61
12/4/2023,65
12/5/2023,63
12/6/2023,57
12/7/2023,51
12/8/2023,55
12/9/2023,45
12/10/2023,64
12/11/2023,71
12/12/2023,63
12/13/2023,59
12/14/2023,71
12/15/2023,56
12/16/2023,49
12/17/2023,60
12/18/2023,56
12/19/2023,76
12/20/2023,78
12/21/2023,68
12/22/2023,77
12/23/2023,60
12/24/2023,50
12/26/2023,78
12/27/2023,75
12/28/2023,78
12/29/2023,84
12/30/2023,78
12/31/2023,74
1/1/2024,67
1/2/2024,65
1/3/2024,69
1/4/2024,56
1/5/2024,56
1/6/2024,65
1/7/2024,54
1/8/2024,64
1/9/2024,55
1/10/2024,50
1/11/2024,50
1/12/2024,41
1/13/2024,35
1/14/2024,43
1/15/2024,57
1/16/2024,37
1/17/2024,35
1/18/2024,42
1/19/2024,35
1/20/2024,43
1/21/2024,45
1/22/2024,41
1/23/2024,33
1/24/2024,43
1/25/2024,46
1/26/2024,53
1/27/2024,40
1/28/2024,38
1/29/2024,48
1/30/2024,47
1/31/2024,49
2/1/2024,55
2/2/2024,53
2/3/2024,44
2/4/2024,52
2/5/2024,58
2/6/2024,40
2/7/2024,54
2/8/2024,58
2/9/2024,44
2/10/2024,41
2/11/2024,59
2/12/2024,58
2/13/2024,64
2/14/2024,51
2/15/2024,55
2/16/2024,40
2/17/2024,63
2/18/2024,70
2/19/2024,56
2/20/2024,54
2/21/2024,41
2/22/2024,52
2/23/2024,48
2/24/2024,56
2/25/2024,40
2/26/2024,44
2/27/2024,47
2/28/2024,52
2/29/2024,50
3/1/2024,47
3/2/2024,52
3/3/2024,57
3/4/2024,62
3/5/2024,55
3/6/2024,48
3/7/2024,49
3/8/2024,47
3/9/2024,44
3/10/2024,46
3/11/2024,54
3/12/2024,55
3/13/2024,50
3/14/2024,45
3/15/2024,33
3/16/2024,53
3/17/2024,58
3/18/2024,51
3/19/2024,70
3/20/2024,41
3/21/2024,46
3/22/2024,36
3/23/2024,42
3/24/2024,49
3/25/2024,38
3/26/2024,44
3/27/2024,54
3/28/2024,37
3/29/2024,40
3/30/2024,51
3/31/2024,40
4/1/2024,63
4/2/2024,47
4/3/2024,38
4/4/2024,39
4/5/2024,48
4/6/2024,44
4/7/2024,43
4/8/2024,54
4/9/2024,53
4/10/2024,50
4/11/2024,33
4/12/2024,32
4/13/2024,43
4/14/2024,46
4/15/2024,43
4/16/2024,50
4/17/2024,45
4/18/2024,50
4/19/2024,32
4/20/2024,42
4/21/2024,54
4/22/2024,43
4/23/2024,61
4/24/2024,52
4/25/2024,33
4/26/2024,55
4/27/2024,38
4/28/2024,49
4/29/2024,49
4/30/2024,44
5/1/2024,43
5/2/2024,34
5/3/2024,40
5/4/2024,47
5/5/2024,49
5/6/2024,41
5/7/2024,38
5/8/2024,48
5/9/2024,37
5/10/2024,37
5/11/2024,46
5/12/2024,41
5/13/2024,45
5/14/2024,53
5/15/2024,42
5/16/2024,43
5/17/2024,41
5/18/2024,42
5/19/2024,46
5/20/2024,36
5/21/2024,38
5/22/2024,42
5/23/2024,43
5/24/2024,34
5/25/2024,47
5/26/2024,48
5/27/2024,46
5/28/2024,53
5/29/2024,47
5/30/2024,43
5/31/2024,38
6/1/2024,39
6/2/2024,50
6/3/2024,39
6/4/2024,34
6/5/2024,29
6/6/2024,30
6/7/2024,30
6/8/2024,39
6/9/2024,40
6/10/2024,56
6/11/2024,36
6/12/2024,32
6/13/2024,39
6/14/2024,47
6/15/2024,39
6/16/2024,34
6/17/2024,48
6/18/2024,40
6/19/2024,33
6/20/2024,30
6/21/2024,36
6/22/2024,52
6/24/2024,44
6/25/2024,35
6/26/2024,26
6/27/2024,40
6/28/2024,45
6/29/2024,42
6/30/2024,36
7/1/2024,56
7/2/2024,33
7/3/2024,40
7/4/2024,25
7/5/2024,48
7/6/2024,38
7/7/2024,39
7/8/2024,35
7/9/2024,33
7/10/2024,32
7/11/2024,47
7/12/2024,31
7/13/2024,39
7/14/2024,42
7/15/2024,35
7/16/2024,36
7/17/2024,35
7/18/2024,35
7/19/2024,37
7/20/2024,28
7/21/2024,40
7/22/2024,43
7/23/2024,45
7/24/2024,42
7/25/2024,31
7/26/2024,35
7/27/2024,36
7/28/2024,42
7/29/2024,39
7/30/2024,41
7/31/2024,36
